920#,First Name,Last Name,Email,Photo Path,Attendance
920313233,Phillip,Thompson,pthompson@catamount.wcu.edu,,
920111111,David,Mitchell,dmitchell@catamount.wcu.edu,,
920854829,Roger,Hall,dhall@catamount.wcu.edu,,
920121212,John,Mulaney,jmulaney@catamount.wcu.edu,,
920333433,Lee,Mack,lmack@catamount.wcu.edu,,
920214531,Amy,Jones,ajones@catamount.wcu.edu,,
920911523,Rob,Brydon,rbrydon@catamount.wcu.edu,,
920111112,Bob,Mortimer,bmortimer@catamount.wcu.edu,,
920111113,Kim,Kardashian,kkardashian@catamount.wcu.edu,,
920111114,Post,Malone,pmalone@catamount.wcu.edu,,
920111115,Al,Coholic,acoholic@catamount.wcu.edu,,
920111116,Ozzy,Osbourne,oosbourne@catamount.wcu.edu,,
920111117,Keanu,Reeves,kreeves@catamount.wcu.edu,,
920111118,Patton,Oswalt,poswalt@catamount.wcu.edu,,
920111119,Issac,Newton,inewton@catamount.wcu.edu,,
920111120,Kylo,Ren,kren@catamount.wcu.edu,,
920111121,Darth,Vader,dvader@catamount.wcu.edu,,
